,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
48,AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,40990,101090,25,4.2,8072,589,"[""AMD Ryzen 5 Hexa Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart"", ""1 Year Onsite Warranty""]",Laptop,HP
49,IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,75400,69999,42,4.1,282,33,"[""Intel Core Ultra 5 Processor"", ""16 GB LPDDR5X RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 Inch) Display"", ""1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection""]",Laptop,Lenovo
50,Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,39990,89689,29,4.3,755,90,"[""AMD Ryzen 5 Hexa Core Processor"", ""16 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Acer
51,Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,63490,24990,48,4.4,1714,113,"[""Intel Core i7 Processor (13th Gen)"", ""16 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories""]",Laptop,SAMSUNG
52,4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,12990,191668,33,4.2,2975,875,"[""MediaTek MT8788 Processor"", ""4 GB LPDDR4 RAM"", ""Android Operating System"", ""29.46 cm (11.6 Inch) Display"", ""1 Year Pick and Drop Warranty""]",Laptop,Primebook
53,OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,126990,77566,14,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
54,Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,65990,66999,37,4.4,37,3,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
55,Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,41990,51266,33,4.3,40,2,"[""Intel Core i5 Processor (13th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Acer
56,15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,33990,192386,34,4.2,6855,414,"[""Intel Core i3 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
57,OMEN AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,125990,123652,21,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 Inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
